,artists
785,Guilherme & Benuto
786,Cartel De Santa
787,2 Chainz
788,Kumar Sanu
789,Danna Paola
790,Cazzu
791,Shinda Kahlon
792,bbno$
793,Gigi D'Agostino
794,Jordan Davis
795,A7S
796,Fifth Harmony
797,fun.
798,Belanova
799,FAST BOY
800,Flume
801,Veigh
802,Mc Livinho
803,Regard
804,TOMORROW X TOGETHER
805,Thomas Rhett
806,SAINt JHN
807,Jess Glynne
808,Matheus Fernandes
809,Zion
810,AJR
811,Kenny Loggins
812,Wizkid
813,Marco Antonio SolÃ­s
814,Shadab Faridi
815,Three Days Grace
816,GAYLE
817,Kimbra
818,Yusuf / Cat Stevens
819,Hans Zimmer
820,Jessie Reyez
821,Lizzy McAlpine
822,Sadhana Sargam
823,Taiu
824,Owl City
825,Supertramp
826,NIKI
827,Simone Mendes
828,Chief Keef
829,Sting
830,MAGIC!
831,Natalia Lafourcade
832,Gera MX
833,Riton
834,TWICE
835,Sidhu Moose Wala
836,The Fray
837,Kelsea Ballerini
838,KayBlack
839,L7NNON
840,Grupo Menos Ã Mais
841,Trueno
842,INXS
843,Sleepy Hallow
844,Kany GarcÃ­a
845,Birdy
846,Mae Stephens
847,Alfredo Olivas
848,Bacilos
849,MC Cabelinho
850,Sum 41
851,Colbie Caillat
852,Los Tigres Del Norte
853,Juan Gabriel
854,Zac Efron
855,The Mamas & The Papas
856,sped up + slowed
857,Otis Redding
858,BÃRNS
859,Mc Pedrinho
860,Stormzy
861,Karthik
862,Dhvani Bhanushali
863,Jimmy Eat World
864,Tim McGraw
865,Rage Against The Machine
866,Jason Aldean
867,Icona Pop
868,Phoebe Bridgers
869,Tego CalderÃ³n
870,MK
871,Lunay
872,The Black Keys
873,C. Tangana
874,Ryan Gosling
875,Migrantes
876,Harris Jayaraj
877,BIA
878,Nadin Amizah
879,Fireboy DML
880,Isabel LaRosa
881,YOASOBI
882,Pedro CapÃ³
883,AgroPlay
884,Rascal Flatts
885,James Carter
886,Kailash Kher
887,JuliÃ³n Ãlvarez y su NorteÃ±o Banda
888,Mustard
889,Yuridia
890,Ofenbach
891,Cher
892,MARINA
893,ILLENIUM
894,Ozzy Osbourne
895,Bob Dylan
896,Young Nudy
897,AminÃ©
898,LE SSERAFIM
899,Heart
900,Pixies
901,Cordae
902,R. D. Burman
903,Jeet Gannguli
904,Takeoff
905,Fujii Kaze
906,Smash Mouth
907,Vicente FernÃ¡ndez
908,Kansas
909,Matt Sassari
910,Rag'n'Bone Man
911,Ghea Indrawari
912,Pink Sweat$
913,Shaan
914,GIMS
915,Hoobastank
916,Kaliii
917,Bonnie Tyler
918,Mon Laferte
919,Gnarls Barkley
920,Thalia
921,No Doubt
922,M.I.A.
923,Sfera Ebbasta
924,Snow Patrol
925,Eric Church
926,Ghost
927,DMX
928,Louis Armstrong
929,Carla Morrison
930,ZZ Top
931,El Fantasma
932,Wolfine
933,Lola Indigo
934,Dilsinho
935,ENHYPEN
936,Ski Mask The Slump God
937,Mahalini
938,Tulus
939,Sam Hunt
940,Bakar
941,MC PH
942,XamÃ£
943,Oliver Heldens
944,Dj Nk Da Serra
945,Will Smith
946,Ajay-Atul
947,Kool & The Gang
948,DJ Matt D
949,The Temptations
950,Bryant Myers
951,Portugal. The Man
952,G. V. Prakash
